COMMENT_ID,AUTHOR,DATE,CONTENT,SUMMARY,LIKE_COUNT,CLASS
UgwgASYNmm98UlpbUkt4AaABAg,@milanmatyas8242,2024-03-15T08:19:39Z,"Fun fact: Hitler became blind after a gas attack in France but when he went into the hospital his sight came back<br>Fun fact2: Hitler almost drowned in 1893. A pope saved him<br>Fun fact3: Hitler was sleeping in &quot;Normandia&quot; but no one dared to wake him up or send backup.<br>Fun fact4:In 1913 Hitler,Stalin,Trotsky,Tito,Freud were in the same city(Vienna)<br>And went into the same bar","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",1,0
Ugz3eI9SK8cAibzmzg54AaABAg,@lexqqy4032,2024-02-21T05:45:01Z,"Why do people put Russia as a winner in WWI ? They signed a peace treaty and left its allies to fight the war, wouldn&#39;t that be consider a loss?","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",0,0
UgzLCEPkATrMRqKC5RR4AaABAg,@lucal_0,2024-01-03T15:58:47Z,"hey man sorry for the critic i understand that it’s simplified, but the italian government could’ve fought easily the camicie nere in the march on rome, the king just didn’t sign the permission to send in the army","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",0,0
UgwoMzXuGyTdUeuXB154AaABAg,@yourmomlol155.,2023-10-07T05:47:06Z,"Auf der Heide blüht ein kleines Blümelein<br><br>Und das heißt, Erika<br><br>Heiß von hunderttausend kleinen Bienelein<br><br>Wird umschwärmt, Erika Denn ihr Herz ist voller Süßigkeit<br><br>Zarter Duft entströmt dem Blütenkleid<br><br>Auf der Heide blüht ein kleines Blümelein Und das heißt, Erika<br><br>In der Heimat wohnt ein kleines Mägdelein<br><br>Und das heißt, Erika<br><br>Dieses Mädel ist mein treues Schätzelein<br><br>Und mein Glück, Erika<br><br>Wenn das Heidekraut rot-lila blüht<br><br>Singe ich zum Gruß ihr dieses Lied Auf der Heide blüht ein kleines Blümelein<br><br>Und das heißt, Erika","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",0,0
UgzkQWu_o-tEirkfyZp4AaABAg,@harringtonvo,2023-09-29T07:42:44Z,You forgot one of the winners (and Florida looks WAY more phallic than the boot of Italy… missed an obvious comic gem there dude)… but great video anyway! :),"OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",0,0
Ugxu652GTcURvDyT6Xp4AaABAg,@SpukiTheLoveKitten75,2023-05-30T07:09:21Z,"While it&#39;s good that weirdos like Hitler were defeated, it also shows how a lot of this mess had it&#39;s roots in &quot;create your own enemy&quot; dumbassery by the future Allies... be it overly punitive treaties or denying Japan recourses while demanding they do stuff for us.<br><br>Finally, why is it so hard to just peacefully ask for resources and have a trade agreement? You have all these idiots obsessed with invasions and colonialism. Why couldn&#39;t Japan just ask China if they could do business together, for example?<br><br>But no, it&#39;s just as much about feeding the ego and dominating as it is about resources.<br><br>Everyone is just so greedy and &quot;Winner take all&quot;!<br><br>This channel is awesome and I love how it&#39;s able to teach stuff in a quick, simple, concise way.","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",0,0
Ugweqy5SQsUnP8fGlnZ4AaABAg,@regalcartoon3952,2023-03-18T17:02:54Z,"And that, my friends, is why all German art schools now have a 100% acceptance rate.","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",1,0
UgzhD1-33Bwe6b54o594AaABAg,@Skolg3r77,2023-03-12T01:45:58Z,"No click bait<br>Gets the sponsor out of the way immediately (in this video) and does it well.<br>IS simplified<br>Pretty accurate<br>Animation<br>Fun history topics<br>Knows when to stop having fun, and takes a moment of respect for bad incedents like auschwitz.<br>This man is the most underrated youtuber on the platform. Why does he not have more subs.","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",1,0
UgwvE1CZew5ToleZapx4AaABAg,@stevejames9531,2023-01-25T18:10:12Z,"Churchill was a lot of things he used the army to attacked his own countrymen the welsh a great thinker me thunk not WW2 was a Bankers War he was a team player follow the script. You have to be a speacial kind of stupied given the winners of WW2  openly show western population what they consider the common people of the nations they own present day are nothing but heards of cattle to them. Voting, free press never existed all down to money power open border fake race baiting on a massive scale replacement of native people of the west General Patton was right and he paid for what he said. One think not allowed to day is what question of history are approved and who is writing the history and what dog could they have for the story of the past that puts them in the best light and hide the evil they do now and did in the past","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",1,0
UgyJScfcFQycaMypt2B4AaABAg,@OmniXenO,2023-01-11T14:04:39Z,"Remember people, this is the winner pov..!!","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",3,0
