COMMENT_ID,AUTHOR,DATE,CONTENT,SUMMARY,LIKE_COUNT,CLASS
Ugw__snvJMoTU5t9fg54AaABAg,@justcrazy7447,2023-03-20T06:26:21Z,"NGL sometimes I feel bad for Dwight , poor man constantly in fear of getting brain freeze😂","""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,0
UgxaOosuySi88mCHjVx4AaABAg,@Badchi,2022-09-26T01:29:01Z,"I know a person EXACTLY like him, 100% in every aspect including looks. And let me tell you, in real life people like that arent as comedic and harmless as on tv","""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,0
UgxuFAN8AEssroibo0B4AaABAg,@NonFormalEducator,2022-06-22T21:14:55Z,Buttlicker shouts always send me to the floor it’s so good,"""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",1,0
UgxV5hdygO2kNLddVj94AaABAg,@Cramblit,2022-03-28T12:20:57Z,"Why does nobody talk about the fact that Jim is sending Fax&#39;s to dweight to prank him, when Jim can&#39;t even be there to see how it plays out, or benefit from it for his own amusement? That&#39;s some epic dedication to pranking.","""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",21,0
UgwBKdw-k_DZs5PkSPV4AaABAg,@Cramblit,2022-03-28T12:19:02Z,"<a href=""https://www.youtube.com/watch?v=Xnk4seEHmgw&amp;t=153"">2:33</a> has to be one of my favorite moments. The bobble head sending dweight over the edge is next level.","""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",80,0
UgxnC0Ya8lua6lFykUp4AaABAg,@cem_kaya,2021-12-22T09:49:27Z,"this video link was the secret message in my cryptography homework , Cs 411 any one else here ?","""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,0
UgxhyBC9n_KAy9wY78p4AaABAg,@samuelguetta8445,2021-02-10T00:17:34Z,Jim has cleary too much free time.,"""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,0
UgwIbac3fSNGmOJzcVh4AaABAg,@kokat2001,2020-11-25T22:14:47Z,If you are the real Office fans chek out my last video! (NOT CLICKBAIT!!!!!!!!!),"""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,1
UgyrWYa0QHKiufubOB14AaABAg,@natetweedy8024,2020-07-30T00:45:52Z,"Hey ya all Jesus(God of the universe)loves you! So much that he died and suffered on the cross so we can all be saved from our sin! We all sin and all of our sin leads to eternal torment but with Jesus FREE GRACE, that he bought for us with his death and resurrection, we can have a FREE ETERNAL LIFE and a new life in him full of his unending joy and everlasting peace and freedom and rest and comfort and love and so much more!! All if you just ask for forgiveness of your sins and ask Jesus into your life! I hope this amazing news makes your day better, please choose Jesus, have a great one!","""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",2,1
UgzxSwO9vYGucK-VkzF4AaABAg,@dumbblanket9572,2020-07-24T23:26:13Z,Isn’t 11$ fashion what we need in the world. People who don’t care about what they wear but are secure financially. Where they can afford to buy a house and send their kid to college. Than earn 2000$ and buy an 1500$ iPhone.,"""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,1
UgzIEbx1DB2Q7civipN4AaABAg,@taterfarmer1230,2020-03-23T14:31:19Z,"Hey y’all wanted to tell you guys the greatest news ever!!  That Jesus Christ the Son of God loves you!!  So much that he died on the cross to save us! Without his grace we find eternal torment but with his grace we find eternal life FOR FREE! We can have a FREE ETERNAL LIFE! All we have to do is to ask for forgiveness and Believe that Jesus is the Son of God!  Then we can follow God and live in his JOY and PEACE and FREEDOM, and REST AND COMFORT AND SO MUCH MORE! He died and suffered so we can have all of that for free!  He loves you and every day he chases you and pursues you so that you can know him!!","""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",1,1
UgyjOQyabd0YRHTm8Vd4AaABAg,@FckPooTN,2019-12-07T04:21:26Z,"Actually... if you think about it, Jim is a mega Sociopath whose whole live is about mobbing Dwight.<br>I mean some of this pranks must need all of his freetime to prepare them.","""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",11,0
UgzVyk1Jrq-JrODhm_94AaABAg,@tinyshira,2019-11-05T08:56:55Z,The one Jim and Pam pretended the Dunder Mifflin site was sending him IMs was the best HAHA,"""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,0
UgxIEqhFN8nncFHSeq14AaABAg,@emmanueloluremilekun894,2019-10-30T14:31:20Z,i see the office i click,"""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,0
