COMMENT_ID,AUTHOR,DATE,CONTENT,LIKE_COUNT,CLASS
UgyNvbqolms3AF-r6GF4AaABAg,@kaylagorrano39,2024-04-13T21:58:35Z,"When this came out I was homeless, on drugs, and then jail. Now I have a house, job, and husband. This song and “Clover Cage - The Chess Piece” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕",3,1
UgzytEYxDSs87fRH2pd4AaABAg,@kaylagorrano39,2024-04-10T03:04:58Z,"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - The Chess Piece” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💝 😊",23,1
UgymfPa0Uz1rQTlJAX54AaABAg,@caylacorrigan4160,2024-03-30T23:31:39Z,"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - The Chess Piece” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💝",3,1
Ugy2ImVvXC1LO8xG3bR4AaABAg,@kaylagorrano39,2024-03-27T01:15:28Z,"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - The Chess Piece” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💝 😊",15,1
UgzIhC50xYRMuQYbbZJ4AaABAg,@davehuard3352,2024-03-25T23:37:27Z,"I Have Gain Respect for Taylor Because she is not hanging out with Some Stiff Athlete instead her Man is a Winner and In New England we Had Nothing,I just Hope are New England Patriots Can Be Better with a New Coach and a New Positive Attitude!",0,0
UgwBFwajQ9p9foEVKNp4AaABAg,@monkeslay,2024-03-25T18:57:33Z,Love 1%<br> Love 2%<br>  Love 3%<br>   Love 4%<br>    Love 5%<br>     Love 6%<br>      Love 7%<br>       Love 8%<br>        Love 9%<br>         Love 10%<br>          Love 11%<br>           Love 12% <br>            Love 13% <br>             Love 14%<br>              Love 15%<br>               Love 16%<br>                Love 17%<br>                 Love 18%<br>                  Love 19%<br>                   Love 20%<br>                    Love 21%<br>                     Love 22%<br>                      Love 23%<br>                       Love 24%<br>                        Love 25%<br>                         Love 26%<br>                          Love 27%<br>                           Love 28%<br>                            Love 29%<br>                             Love 30%<br>                              Love 31%<br>                               Love 32%<br>                                Love 33%<br>                                 Love34%<br>                                 Love35%<br>                                 Love36%<br>                               Love 37%<br>                              Love 38%<br>                             Love 39%<br>                            Love 40%<br>                           Love 41%<br>                          Love 42%<br>                         Love 43%<br>                        Love 44%<br>                       Love 45%<br>                      Love 46%<br>                     Love 47%<br>                    Love 48%<br>                   Love 49%<br>                  Love 50%<br>                 Love 51%<br>                Love 52%<br>               Love 53%<br>              Love 54%<br>             Love 55%<br>            Love 56%<br>           Love 57%<br>          Love 58%<br>         Love 59%<br>        Love 60%<br>       Love 61%<br>      Love 62%<br>     Love 63%<br>    Love 64%<br>   Love 65%<br>  Love 66%<br> Love 67%<br>Love 68%<br>Love 69%<br>Love 70%<br>Love 71%<br>Love 72%<br>Love 73%<br>Love 74%<br>Love 75%<br>Love 76%<br>Love 77%<br>Love 78%<br>Love 79%<br>Love 80%<br> Love 81% <br>  Love 82%<br>   Love 83%<br>    Love 84%<br>     Love 85%<br>      Love 86%<br>       Love 87%<br>        Love 88%<br>         Love 89%<br>          Love 90%<br>           Love 91%<br>            Love 92%<br>             Love 93%<br>              Love 94%<br>               Love 95%<br>                Love 96%<br>                 Love 97%<br>                  Love 98%<br>                   Love 99%<br>                    Love 100%,1,0
UgwGYQBaMMumGQ3L_El4AaABAg,@caylacorrigan4160,2024-03-23T23:55:28Z,"Before this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - The Chess Piece” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ❤️😊",6,1
UgwbuiHR5iFjYH6iBIF4AaABAg,@Mayfe-zg3rr,2024-03-21T01:05:38Z,I randomly clicked this and the ad before was talking abt the Taylor swift eras tour live concert-,0,0
UgyPSDV_MDm25-sDZwl4AaABAg,@kaylagorrano39,2024-03-19T20:02:17Z,"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - The Chess Piece” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ❤️😊",11,1
Ugy-oemP8DCom5LL7oZ4AaABAg,@caylacorrigan4160,2024-03-16T04:40:55Z,"Okay it’s time to be honest. When this came out I was homeless, on drugs, and then jail. Now I have a house, job, and husband. This song and “Clover Cage - The Chess Piece” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕",3,1
